ID_ROUTE | ID_AIRCRAFT
1,52
2,52
2,51
3,52
4,51
5,53
6,52
7,52
8,52
8,51
9,51
10,53
10,50
11,52
11,50
12,53
13,53
13,50
14,50
15,52
16,52
17,52
17,50
18,50
20,216
23,216
24,216
25,216
26,216
27,216
30,216
32,216
33,216
36,13
37,13
37,15
38,13
39,13
40,13
41,13
41,15
42,15
42,13
43,13
44,13
44,15
45,13
45,15
46,13
47,13
48,186
49,186
50,13
51,13
52,13
53,13
54,13
55,186
56,186
57,13
58,13
59,13
60,113
61,113
62,231
63,113
63,231
64,113
65,231
66,113
67,231
68,6
69,231
70,231
70,113
71,231
72,231
73,113
74,113
75,231
75,113
76,113
76,231
77,231
78,231
79,113
79,231
80,113
80,231
81,231
82,113
83,113
84,231
85,113
86,113
87,231
88,231
89,6
90,231
91,231
92,231
93,231
94,231
94,113
95,231
96,231
97,231
98,231
99,152
100,15
101,15
102,15
103,152
104,15
105,19
106,15
107,15
108,15
109,152
110,15
111,15
112,15
113,152
114,15
115,19
116,15
117,15
118,15
119,151
120,15
121,15
122,15
123,152
124,152
125,15
126,151
127,15
128,15
129,15
130,152
131,152
132,15
133,7
134,7
135,7
136,7
137,7
138,7
139,7
140,7
141,7
142,7
143,7
144,7
145,7
146,7
147,7
148,7
149,7
150,7
151,7
152,7
153,7
154,7
155,7
156,7
157,7
158,7
159,7
160,7
161,7
162,7
163,7
164,7
165,7
166,7
167,7
168,7
169,7
170,7
171,7
172,7
173,7
174,7
175,7
176,7
177,7
178,7
181,13
182,13
183,13
184,13
185,13
186,13
187,13
188,13
189,13
190,13
191,13
192,13
193,13
194,13
195,13
196,13
197,13
198,13
199,13
200,13
201,13
202,13
203,13
204,13
205,13
206,13
207,13
208,13
209,13
210,13
213,147
214,147
217,147
225,147
227,147
235,147
236,147
237,147
248,147
249,147
259,147
264,147
266,147
275,64
276,64
277,64
278,64
279,64
280,15
281,15
282,15
283,15
284,15
285,15
286,15
287,15
288,15
289,15
290,15
291,15
292,15
293,15
294,15
295,15
296,15
297,15
298,15
299,15
300,15
301,15
302,15
303,15
304,15
305,15
306,15
307,15
308,151
309,151
310,151
311,151
312,151
313,151
314,151
315,151
316,151
317,7
318,7
319,7
320,7
321,7
322,151
323,7
324,151
325,7
326,7
327,151
328,7
329,7
330,151
331,151
332,151
333,151
334,231
335,15
336,15
337,15
338,15
339,15
340,15
341,15
342,15
343,15
344,15
345,15
346,15
347,15
348,15
349,15
350,15
351,15
352,15
353,15
354,15
355,15
356,15
357,15
358,15
359,15
360,15
361,15
362,15
363,15
364,15
365,15
366,15
367,15
368,15
369,15
370,15
371,15
372,15
373,15
374,15
375,15
376,15
377,15
378,15
379,5
380,15
381,5
382,15
383,5
383,15
384,5
385,5
386,5
387,5
388,5
388,15
389,147
390,5
391,5
392,147
393,5
394,5
395,5
396,17
397,17
397,15
398,17
398,15
398,19
399,19
400,17
401,17
402,17
403,15
404,15
405,15
406,15
407,17
408,15
409,17
410,15
410,13
411,17
411,15
412,17
413,13
413,17
414,19
415,15
416,15
417,15
418,13
419,15
419,13
420,17
421,17
422,13
423,13
423,15
424,13
424,17
425,13
426,13
427,13
428,13
429,13
430,17
430,13
430,15
431,15
431,13
432,13
433,13
434,19
435,15
436,15
437,17
438,13
439,17
440,15
441,13
442,13
443,13
444,15
445,13
446,13
447,13
447,17
448,15
449,15
450,15
451,15
452,13
453,17
454,17
454,15
454,19
455,17
456,19
457,15
458,13
459,13
460,17
461,13
462,15
463,17
464,15
464,13
465,15
466,17
467,17
468,13
469,15
470,13
471,17
472,15
473,15
474,15
475,13
476,13
477,13
478,19
478,13
479,13
480,19
481,13
481,15
482,13
482,15
483,19
483,17
483,15
484,17
484,19
485,13
486,19
487,15
488,17
489,15
489,17
490,17
491,17
492,17
493,13
494,13
494,19
495,15
496,13
497,15
498,13
499,15
500,15
500,13
501,15
502,15
503,15
504,15
505,13
506,15
507,17
508,17
509,15
510,13
511,13
512,15
513,15
514,15
515,17
516,15
517,13
518,13
519,13
520,15
521,13
522,15
523,13
524,13
525,13
526,13
527,17
528,15
529,17
530,15
531,13
532,15
533,17
534,15
535,15
535,13
536,13
536,15
537,15
538,15
539,15
540,15
541,15
542,15
543,15
544,13
545,17
546,17
547,15
548,17
549,15
550,17
551,17
552,13
553,17
554,17
555,15
555,17
556,17
557,17
558,17
559,17
560,15
560,17
561,17
562,17
563,17
564,15
565,13
566,13
567,13
568,15
569,15
570,13
571,13
572,13
573,13
574,17
575,13
576,17
577,15
578,13
578,15
579,15
580,15
581,13
582,13
583,15
584,13
585,15
586,15
587,15
588,15
589,15
590,15
591,15
592,15
593,15
594,15
595,15
596,15
597,15
598,15
599,17
600,17
601,15
602,17
603,15
604,17
605,15
606,13
606,17
607,13
608,13
609,13
610,17
611,17
612,13
613,13
614,13
615,13
616,13
617,13
618,19
618,13
619,13
620,13
621,13
622,13
622,15
623,13
624,19
625,13
626,13
627,15
628,15
629,13
630,17
631,17
632,17
633,15
634,17
635,17
636,15
637,13
638,13
638,15
639,13
640,13
641,15
642,13
643,15
644,13
645,13
645,15
646,17
647,17
648,13
648,17
648,15
649,17
649,15
649,19
650,15
651,15
652,15
652,13
653,19
653,17
654,19
655,13
656,13
657,15
658,19
659,13
660,17
661,17
662,15
663,19
664,15
665,17
666,17
667,19
668,19
669,13
670,19
671,15
672,17
673,17
674,15
675,15
676,17
677,15
678,17
679,17
680,13
681,15
682,15
682,17
683,13
684,17
685,15
686,17
687,17
688,17
689,17
690,15
690,17
691,15
692,17
