ID | NAME | IATA(3) | ICAO(4) | CALLSIGN | ID_COUNTRY_OF_ORIGIN
108,Air Express,,AEQ,LUNA,215
109,Alaska Central Express,KO,AER,ACE AIR,
110,ACES Colombia,,AES,ACES,49
111,Aeronautical Radio of Thailand,,AET,AEROTHAI,221
112,Astraeus,5W,AEU,FLYSTAR,
113,Aeroventas,,AEV,AEROVENTAS,144
114,Aerosvit Airlines,VV,AEW,AEROSVIT,233
115,Airway Express,,AEX,AVCO,
116,Air Italy,I9,AEY,AIR ITALY,110
117,Aerial Transit Company,,AEZ,AERIAL TRANZ,
118,Alfa Air,,AFA,BLUE ALFA,60
119,American Falcon,WK,AFB,AMERICAN FALCO,11
120,Alliance Airlines,QQ,UTY,UNITY,14
121,Air Universal,,UVS,UNI-LEONE,199
122,Auvia Air,,UVT,AUVIA,104
123,African West Air,,AFC,AFRICAN WEST,196
124,Airfast Indonesia,,AFE,AIRFAST,104
125,Ariana Afghan Airlines,FG,AFG,ARIANA,1
126,Air Fecteau,,AFH,FECTO,40
127,Africaone,,AFI,AFRICAWORLD,232
128,Alliance,,AFJ,JAMBO,232
129,Africa Air Links,,AFK,AFRICA LINKS,199
130,Aeroflot Russian Airlines,SU,AFL,AEROFLOT,
131,Aero Empresa Mexicana,,AFO,AERO EMPRESA,144
132,Air Bosna,JA,BO,AIR BOSNA,29
133,Air Bravo,,BRF,AIR BRAVO,232
134,Air Brasd'or,,BRL,BRASD'OR,40
135,Air 500,,BRM,BOOMERANG,40
136,Alba Servizi Aerotrasporti,,AFQ,ALBA,110
137,Air France,AF,AFR,AIRFRANS,76
138,Air Partner,,ACG,AIR PARTNER,
139,Air Caledonie International,SB,ACI,AIRCALI,76
140,Air Caledonia,,ACM,WEST CAL,40
141,Air Guam,,AGM,AIR GUAM,
142,Air Gabon,G,AG,GOLF NOVEMBER,80
143,Air Data,,AFS,,
144,Air Afrique Vacancies,,AFV,AFRIQUE VACANCE,
145,Air Cargo America,,MVM,PEGASUS,
146,Air Salone,2O,,,199
147,Air-Angol,,GO,AIR ANGOL,7
148,Air Nigeria,,GP,REGAL EAGLE,
149,Air Cargo Carriers,2Q,SNC,IGHT CARGO,
150,Air Samarkand,,SND,ARSAM,239
151,Air Senegal International,V7,SNG,AIR SENEGAL,196
152,Air Sandy,,SNY,AIR SANDY,40
153,Air Namibia,SW,MB,AMIBIA,
154,Air Intersalonika,,SK,INTERSALONIKA,86
155,Air Anatolia,,TL,AIR ANATOLIA,228
156,Air Saigon,,SGA,AIR SAIGO,
157,Afrique Regional Airways,,AFW,AFRAIR,
158,Airfreight Express,,AFX, ,
159,Africa Chartered Services,,AFY,AFRICA CHARTERED,
160,Africa Freight Services,,AFZ,AFREIGHT,248
161,Aeronaves Del Centro,,AGA,,
162,Air Service Gabon,G8,AGB,,80
163,Arab Agricultural Aviation Company,,AGC,AGRICO,66
164,Atlantic Gulf Airlines,,AGF,ATLANTIC GULF,
165,Aerolitoral,5D,SLI,COSTERA,144
166,Algoma Airways,,AGG,ALGOMA,40
167,Altagna,,AGH,ALTAGNA,76
168,Angola Air Charter,,AGO,ANGOLA CHARTER,7
169,Angola Air Charter,,AGO,ANGOLA CHARTER,7
170,AERFI Group,,AGP,AIR TARA,107
