ID | NAME
1,Southern Africa
2,Central Asia
3,South America
4,Southern Asia
5,Eastern Africa
6,Middle Africa
7,Western Europe
8,Central America
9,Western Asia
10,Australia and New Zealand
11,Southern Europe
12,Eastern Asia
13,Northern America
14,Western Africa
15,Eastern Europe
16,Micronesia
17,Northern Europe
18,Polynesia
19,Caribbean
20,Northern Africa
21,South-Eastern Asia
22,Melanesia
