ID | ID_AIRLINE |ID_SRC_AIRPORT | ID_DST_AIRPORT
1,8359,2786,2789
2,8359,2812,2789
3,8359,2812,2808
4,8359,6067,2789
5,8359,2801,2781
6,8359,2801,2806
7,8359,2789,2786
8,8359,2789,2812
9,8359,2789,6067
10,8359,2789,2781
11,8359,2789,2806
12,8359,2781,2801
13,8359,2781,2789
14,8359,2781,2806
15,8359,2808,2812
16,8359,2806,2801
17,8359,2806,2789
18,8359,2806,2781
19,470,248,246
20,470,1044,1084
21,470,1044,246
22,470,247,246
23,470,245,298
24,470,245,246
25,470,1084,1044
26,470,1084,246
27,470,298,246
28,470,280,246
29,470,246,248
30,470,246,1044
31,470,246,247
32,470,246,245
33,470,246,1084
34,470,246,298
35,470,246,280
36,1338,2709,2673
37,1338,2709,2688
38,1338,2715,2673
39,1338,2673,2709
40,1338,2673,2715
41,1338,2673,6045
42,1338,2673,2688
43,1338,2670,2688
44,1338,6045,2673
45,1338,2688,2709
46,1338,2688,2673
47,1338,2688,2670
48,2750,1506,1678
49,2750,1264,1678
50,2750,1665,1054
51,2750,1197,1678
52,2750,1054,1678
53,2750,4197,1678
54,2750,1056,1665
55,2750,1678,1506
56,2750,1678,1264
57,2750,1678,1197
58,2750,1678,1054
59,2750,1678,4197
60,3652,730,719
61,3652,737,715
62,3652,737,709
63,3652,737,688
64,3652,737,718
65,3652,737,5595
66,3652,737,719
67,3652,737,442
68,3652,737,722
69,3652,737,448
70,3652,737,746
71,3652,737,729
72,3652,737,711
73,3652,715,737
74,3652,715,718
75,3652,709,737
76,3652,709,688
77,3652,709,711
78,3652,5599,729
79,3652,688,737
80,3652,688,709
81,3652,435,448
82,3652,718,737
83,3652,718,715
84,3652,5595,737
85,3652,719,730
86,3652,719,737
87,3652,442,737
88,3652,442,460
89,3652,722,737
90,3652,644,711
91,3652,448,737
92,3652,448,435
93,3652,460,442
94,3652,746,737
95,3652,729,737
96,3652,729,5599
97,3652,711,737
98,3652,711,644
99,897,6019,2397
100,897,4200,2397
101,897,2399,2397
102,897,2400,2397
103,897,6024,2397
104,897,2425,2397
105,897,8076,2397
106,897,2402,2397
107,897,2430,2397
108,897,4203,2397
109,897,2397,6019
110,897,2397,4200
111,897,2397,2399
112,897,2397,2400
113,897,2397,6024
114,897,2397,2425
115,897,2397,8076
116,897,2397,2402
117,897,2397,2430
118,897,2397,4203
119,897,2397,2426
120,897,2397,4204
121,897,2397,2433
122,897,2397,6026
123,897,2397,6016
124,897,2397,6021
125,897,2397,2404
126,897,2426,2397
127,897,4204,2397
128,897,2433,2397
129,897,6026,2397
130,897,6016,2397
131,897,6021,2397
132,897,2404,2397
133,1729,7376,4214
134,1729,7373,2531
135,1729,7373,2621
136,1729,2531,7373
137,1729,2531,7367
138,1729,2531,2613
139,1729,2535,2564
140,1729,2548,2562
141,1729,2548,7367
142,1729,2538,7380
143,1729,7380,2538
144,1729,7380,2564
145,1729,2560,2613
146,1729,2564,2535
147,1729,2564,7380
148,1729,2564,2613
149,1729,2564,2635
150,1729,2564,2633
151,1729,2564,6039
152,1729,2562,2548
153,1729,2562,4214
154,1729,2562,2613
155,1729,2562,2633
156,1729,7367,2531
157,1729,7367,2548
158,1729,2528,2613
159,1729,4214,7376
160,1729,4214,2562
161,1729,2613,2531
162,1729,2613,2560
163,1729,2613,2564
164,1729,2613,2562
165,1729,2613,2528
166,1729,2613,2619
167,1729,2613,2633
168,1729,2619,2613
169,1729,2621,7373
170,1729,2621,6039
171,1729,2635,2564
172,1729,2635,2633
173,1729,2633,2564
174,1729,2633,2562
175,1729,2633,2613
176,1729,2633,2635
177,1729,6039,2564
178,1729,6039,2621
179,10739,5726,3678
180,10739,3678,5726
181,595,248,1084
182,595,248,273
183,595,248,1063
184,595,1218,1050
185,595,1050,1218
186,595,1050,1084
187,595,1050,1059
188,595,4162,5665
189,595,1084,248
190,595,1084,1050
191,595,1084,897
192,595,1084,1059
193,595,1084,273
194,595,1084,5665
195,595,897,1084
196,595,897,273
197,595,1059,1050
198,595,1059,1084
199,595,1059,502
200,595,1059,1063
201,595,502,1059
202,595,273,248
203,595,273,1084
204,595,273,897
205,595,273,1063
206,595,5665,4162
